customer_first_name,customer_last_name,phone_number
Ruby,Boyle,1-546-302-5676
Percival,Kessler,(791)562-7792x45732
Abbey,Ruecker,1-344-593-4896x425
Brennon,Weimann,(943)219-4234x415
Meaghan,Keeling,06015518212
Dee,Larkin,241.796.1219x37862
Zita,Trantow,(193)465-6674x4952
Murl,Shanahan,1-546-447-9843x13741
Dangelo,Spinka,1-904-787-7320
Joesph,Schaefer,(488)524-5345
Vesta,Leuschke,+69(0)7149212554
Kieran,Auer,(157)046-6255x98627
Devin,Glover,197-955-3766
Neoma,Hauck,+95(0)1523064649
Jensen,Muller,(650)406-8761
